id,family_name,name,patronymic
591,Агаев  ,Бекхан,Вахаевич
600,Агаев ,Ваха,Абуевич
9822,Агаева,Тунзаля,Исмаил
4706,Агаков,Всеволод,Георгиевич
1296,Агальцов,Валерий,Станиславович
7011,Агамов,Эдуард,Фаридович
9576,Аганова,Галина,Рэмовна
21240,Агапеева,Марина,Александровна
14174,Агапкин,Михаил,Иванович
5459,Агапкина,Наталья,Ивановна
12221,Агапов,Александр,Витальевич
12396,Агапов,Дмитрий,Геннадьевич
21137,Агапов,Роман,Валерьевич
1363,Агапов,Роман,Вячеславович
6075,Агапова,Татьяна,Валентиновна
15865,Агапцев,Георгий,Юрьевич
4621,Агапцов,Сергей,Анатольевич
12120,Агарков,Александр,Григорьевич
11473,Агарков,Сергей,Иванович
7617,Агаркова,Светлана,Яковлевна
6074,Агасиева,Ольга,Леонидовна
18917,Агафонова,Евгения,Владиславовна
8495,Агафонова,Марина,Анатольевна
10007,Агафонова,Марина,Юрьевна
12908,Агафонова,Наталья,Степановна
9345,Агафонова,О.,С.
6076,Агафонова,Ольга,Анатольевна
305,Агеев,Александр,Александрович
12909,Агеев,Алексей,Степанович
17802,Агеев,Антон,Валерьевич
15781,Агеев,Виктор,Геннадьевич
18439,Агеева,Валентина,Анатольевна
1759,Агеева,Марина,Евгеньевна
19008,Агеева,Светлана,Максимовна
13721,Агеенко,Вадим,Алексеевич
11764,Агешин,Юрий,Андреевич
16927,Агибалов,Юрий,Владимирович
13934,Агишев,Рустям,Аипович
592,Агузаров,Тамерлан,Кимович
18261,Агуленко,Василий,Васильевич
2560,Адабашьян,Олег,Гургенович
8493,Адайкин,Александр,Андреевич
8504,Адайкина,Екатерина,Олеговна
4451,Адаменко,Александр,Николаевич
17701,Адаменко,Светлана,Викторовна
7012,Адамия,Давид,Арчилович
8250,Адамов,Леонид,Эдуардович
7209,Адамова,Валерия,Борисовна
5233,Адамович,В.,Б.
10072,Адамский,Михаил,Яковлевич
7762,Адарич,Наталья,Владимировна
5574,Адашкин,Эдуард,Леонидович
18264,Адмаева,Ирина,Сергеевна
4176,Аднагузина,Татьяна,Сергеевна
15684,Адонина,Светлана,Юрьевна
19732,Адуев,Максим,Игоревич
12878,Адучиев,Батор,Канурович
17050,Адьяев,Санал,Борисович
17897,Аешин,Семен,Юрьевич
9346,Азанова,Г.,Н.
20154,Азарных,Анастасия,Анатольевна
685,Азаров,Виталий,Михайлович
457,Азаров,Дмитрий,Игоревич
18988,Азарова,Нина,Владимировна
10016,Азарова,Татьяна,Сергеевна
11095,Азарова,Юлия,Владимировна
817,Азат,Нуриахметович,Кутлиахметов
1733,Азбукин,Владимир,Михайлович
11445,Азизов,Григорий,Георгиевич
12811,Азиков,Азамат,Гаднанович
12812,Азикова,Светлана,Гаднановна
12279,Азнабаев,Румиль,Талгатович
17267,Азнаурьян,Степан,Арменакович
21263,Азов,Иван,Юрьевич
18555,Азюк,Наталья,Петровна
1593,Аиткулова,Эльвира,Ринатовна
17079,Айгистова,Светлана,Владимировна
17940,Айдамиров,Асламбек,Мусаевич
17928,Айдамиров,Ахмед,Мусаевич
16709,Айнуллина,Гульнара,Шамильевна
15142,Айпин,Еремей,Данилович
14017,Айтакова,Ксения,Алексеевна
20064,Акаев,Джалалдин,Качакович
11322,Акакин,Андрей,Владимирович
17755,Акатаев,Чингис,Маметович
12974,Акбаев,Ренат,Анзорович
15622,Акбулатов,Эдхам,Шукриевич
17207,Акентьева,Инесса,Геннадьевна
1297,Акжигитова,Алла,Николаевна
12747,Акиев,Адам,Русланович
1691,Акиев,Виталий,Аксяевич
4480,Акимов,Александр,Константинович
18735,Акимов,Анатолий,Николаевич
14326,Акимов,Андрей,Афанасьевич
4639,Акимов,Андрей,Валентинович
16457,Акимов,Андрей,Владимирович
20637,Акимов,Валерий,Ильич
16275,Акимов,Владимир,Владимирович
20924,Акимов,Георгий,Валерьевич
1357,Акимов,Максим,Алексеевич
15709,Акимов,Рамиз,Исмаилович
1761,Акимова,Екатерина,Яковлевна
17996,Акимова,Ирина,Леонидовна
2310,Акимова,Ирина ,Сергеевна 
5358,Акимова,Любовь,Анатольевна
19403,Акимова,Марина,Владимировна
10854,Акимова,Наталья,Юрьевна
19003,Акимова,Татьяна,Михайловна
9823,Акимова,Татьяна,Николаевна
3577,Акимушкина,Татьяна,Алексеевна
7357,Акинина,Наталья,Васильевна
4638,Аккузин,Вадим,Викторович
5594,Акмуллаева,Веляде,Небиевна
7990,Акопов,Сергей,Грантович
1762,Акопян,Вилен,Юрьевич
33,Аксаков,Анатолий,Геннадьевич
686,Аксаков,Валерий,Евгеньевич
13617,Аксаков,Евгений,Валерьевич
20822,Аксаментов,Сергей,Витальевич
5320,Аксарин,Валерий,Федорович
20190,Аксененко,Николай,Николаевич
7853,Аксенов,Александр,Петрович
20189,Аксенов,Олег,Иванович
8292,Аксенов,Сергей,Анатольевич
7930,Аксенова,Любовь,Андреевна
