Название
Аграрная партия
Альянс зеленых и социал-демократов (ранее: Альянс зелёных - народная партия)
Гражданская Позиция
Гражданская сила
Демократическая партия России (Демократическая Россия)
Единая Россия
За женщин России
Зеленые
Казачья партия Российской Федерации
Коммунистическая партия социальной справедливости
Коммунисты России
КПРФ
ЛДПР
Партия Национальной безопасности России
Партия Пенсионеров России
Партия Социальной Справедливости
Патриоты России
Правое дело
Родина
Социал-демократическая партия России
Справедливая Россия
СПС
Яблоко
